"category","review_count","avg_rating","variance","std_dev","corr_length_rating","corr_pvalue","regression_slope","regression_intercept","regression_r2","regression_pvalue"
"Gift Card",100000,4.7136,0.7259,0.852,-0.2311,0,-0.00122,4.9125,0.0534,0
"Music",100000,4.5065,0.9675,0.9836,-0.0521,0,-0.000122,4.5628,0.0027,0
"Digital_Music_Purchase",100000,4.4613,1.1669,1.0802,-0.0289,0,-3e-05,4.4777,8e-04,0
"Books",100000,4.3837,1.1668,1.0802,-0.0615,0,-0.000108,4.4515,0.0038,0
"Grocery",100000,4.3039,1.4846,1.2184,-0.0366,0,-0.000108,4.3446,0.0013,0
"Video",100000,4.225,1.4845,1.2184,-0.0604,0,-0.000128,4.3008,0.0036,0
"Shoes",100000,4.2013,1.4139,1.1891,-0.0514,0,-0.000205,4.2673,0.0026,0
"Apparel",100000,4.1425,1.5603,1.2491,-0.0865,0,-0.000388,4.2302,0.0075,0
"Musical Instruments",100000,4.131,1.604,1.2665,-0.011,5e-04,-1.7e-05,4.1416,1e-04,5e-04
"Beauty",100000,4.1206,1.7697,1.3303,-0.0217,0,-5.6e-05,4.1468,5e-04,0
"Tools",100000,4.1121,1.6641,1.29,-0.0322,0,-6e-05,4.1474,0.001,0
"Watches",100000,4.1096,1.6214,1.2733,-0.0286,0,-5.9e-05,4.1379,8e-04,0
"Health & Personal Care",100000,4.0926,1.8835,1.3724,-0.0146,0,-4e-05,4.1106,2e-04,0
"Outdoors",100000,4.0874,1.6182,1.2721,-0.0338,0,-6.9e-05,4.1241,0.0011,0
"Pet Products",100000,4.0562,1.9192,1.3854,-0.0508,0,-0.000126,4.1197,0.0026,0
"Toys",100000,4.0362,1.8654,1.3658,0.0055,0.0806,1.6e-05,4.0275,0,0.0806
"Video Games",100000,4.0277,1.8039,1.3431,-0.0025,0.4262,-4e-06,4.031,0,0.4262
"Camera",100000,4.0211,1.7598,1.3266,0.0273,0,3.9e-05,3.9911,7e-04,0
"Sports",100000,4.0176,1.8051,1.3435,-0.0304,0,-7e-05,4.0503,9e-04,0
"Video DVD",100000,4.0028,1.7914,1.3384,0.002,0.5201,3e-06,4,0,0.5201
"Automotive",100000,3.9856,1.9774,1.4062,-0.0493,0,-0.000141,4.0462,0.0024,0
"Personal_Care_Appliances",85981,3.9774,2.0539,1.4331,-0.0367,0,-0.000109,4.0149,0.0013,0
"Furniture",100000,3.922,1.9263,1.3879,-0.0735,0,-0.000185,4.0105,0.0054,0
"Baby",100000,3.873,2.1314,1.4599,-0.0083,0.0087,-2.5e-05,3.8876,1e-04,0.0087
"Digital_Video_Download",100000,3.8706,2.1202,1.4561,-0.0354,0,-6.6e-05,3.906,0.0013,0
"Digital_Ebook_Purchase",100000,3.8694,2.0578,1.4345,0.0471,0,7e-05,3.8169,0.0022,0
"Digital_Video_Games",100000,3.7845,2.3975,1.5484,-0.0624,0,-0.000114,3.8349,0.0039,0
"Mobile_Electronics",100000,3.7586,2.3186,1.5227,-0.0304,0,-8.8e-05,3.7892,9e-04,0
"Major Appliances",96901,3.7162,2.571,1.6034,-0.1552,0,-0.000309,3.8609,0.0241,0
"PC",100000,3.7072,2.3745,1.5409,-0.034,0,-6.9e-05,3.757,0.0012,0
"Electronics",100000,3.6983,2.2137,1.4878,0.0512,0,8.6e-05,3.6295,0.0026,0
"Wireless",100000,3.652,2.1677,1.4723,6e-04,0.8474,1e-06,3.6513,0,0.8474
"Office Products",100000,3.6161,2.3815,1.5432,-0.0022,0.4916,-4e-06,3.6191,0,0.4916
"Mobile_Apps",100000,3.5721,2.5278,1.5899,0.0209,0,0.000115,3.5421,4e-04,0
"Digital_Software",100000,3.5415,2.6867,1.6391,-0.1887,0,-0.000482,3.7227,0.0356,0
"Software",100000,3.2726,2.7895,1.6702,0.0084,0.0078,1.2e-05,3.2625,1e-04,0.0078
